DEBUG:2023-01-14 17:41:30,098:Affichage du niveau
DEBUG:2023-01-14 17:41:30,100:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:30,100:Vérification des conditions de blocage
DEBUG:2023-01-14 17:41:31,177:Affichage du niveau
DEBUG:2023-01-14 17:41:31,178:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:31,178:Vérification des conditions de blocage
DEBUG:2023-01-14 17:41:31,930:Affichage du niveau
DEBUG:2023-01-14 17:41:31,931:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:31,931:Vérification des conditions de blocage
WARNING:2023-01-14 17:41:33,139:Annulation du dernier coup
DEBUG:2023-01-14 17:41:33,139:Remise en place des ancienne coordonnées de la dernière boule jouée
DEBUG:2023-01-14 17:41:33,139:Affichage du niveau
DEBUG:2023-01-14 17:41:33,140:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:33,140:Vérification des conditions de blocage
WARNING:2023-01-14 17:41:34,029:Annulation du dernier coup
DEBUG:2023-01-14 17:41:34,029:Remise en place des ancienne coordonnées de la dernière boule jouée
DEBUG:2023-01-14 17:41:34,029:Affichage du niveau
DEBUG:2023-01-14 17:41:34,030:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:34,030:Vérification des conditions de blocage
WARNING:2023-01-14 17:41:35,326:Annulation du dernier coup
DEBUG:2023-01-14 17:41:35,326:Remise en place des ancienne coordonnées de la dernière boule jouée
DEBUG:2023-01-14 17:41:35,326:Affichage du niveau
DEBUG:2023-01-14 17:41:35,328:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:35,328:Vérification des conditions de blocage
WARNING:2023-01-14 17:41:35,658:Annulation du dernier coup
DEBUG:2023-01-14 17:41:35,659:Remise en place des ancienne coordonnées de la dernière boule jouée
DEBUG:2023-01-14 17:41:35,659:Affichage du niveau
DEBUG:2023-01-14 17:41:35,659:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:35,659:Vérification des conditions de blocage
WARNING:2023-01-14 17:41:36,282:Le niveau est remis à zéro
DEBUG:2023-01-14 17:41:36,283:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:41:36,283:Affichage du niveau
DEBUG:2023-01-14 17:41:36,284:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:41:36,284:Vérification des conditions de blocage
DEBUG:2023-01-14 17:42:36,433:Création et affichage de la fenêtre d'aide
DEBUG:2023-01-14 17:42:36,447:Fermeture de la fenêtre d'aide et remise en place du top level sur la fenetre de jeu
DEBUG:2023-01-14 17:43:02,006:Création et affichage de la fenêtre d'information
DEBUG:2023-01-14 17:43:02,015:Fermeture de la fenêtre d'info et remise en place du top level sur la fenetre de jeu
DEBUG:2023-01-14 17:43:20,013:Création et affichage de la fenêtre d'information
DEBUG:2023-01-14 17:43:20,018:Fermeture de la fenêtre d'info et remise en place du top level sur la fenetre de jeu
WARNING:2023-01-14 17:50:52,181:Enregistrement du fichier de résolution
WARNING:2023-01-14 17:50:52,183:Si un enregistrement était nécéssaire, il a bien eu lieu
INFO:2023-01-14 17:50:52,183:Fin du jeu
DEBUG:2023-01-14 17:50:57,416:La configuration du logger est terminée
DEBUG:2023-01-14 17:50:57,486:La fenetre principale a bien été crée
DEBUG:2023-01-14 17:50:57,500:Lecture du fichier de résolution
DEBUG:2023-01-14 17:50:57,501:modification du fichier de résolution
DEBUG:2023-01-14 17:50:57,502:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:50:57,502:Affichage du niveau
DEBUG:2023-01-14 17:50:57,502:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:50:57,502:Vérification des conditions de blocage
DEBUG:2023-01-14 17:51:05,787:La configuration du logger est terminée
DEBUG:2023-01-14 17:51:05,890:La fenetre principale a bien été crée
DEBUG:2023-01-14 17:51:05,918:Lecture du fichier de résolution
DEBUG:2023-01-14 17:51:05,919:modification du fichier de résolution
DEBUG:2023-01-14 17:51:05,919:Lecture du fichier de configuration du niveau
DEBUG:2023-01-14 17:51:05,919:Affichage du niveau
DEBUG:2023-01-14 17:51:05,920:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:51:05,920:Vérification des conditions de blocage
DEBUG:2023-01-14 17:58:34,969:Affichage du niveau
DEBUG:2023-01-14 17:58:34,969:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:58:34,969:Vérification des conditions de blocage
DEBUG:2023-01-14 17:58:35,924:Affichage du niveau
DEBUG:2023-01-14 17:58:35,925:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:58:35,925:Vérification des conditions de blocage
DEBUG:2023-01-14 17:58:36,713:Affichage du niveau
DEBUG:2023-01-14 17:58:36,713:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:58:36,713:Vérification des conditions de blocage
DEBUG:2023-01-14 17:58:37,317:Affichage du niveau
DEBUG:2023-01-14 17:58:37,318:Vérification du niveau d'avancement de la partie
DEBUG:2023-01-14 17:58:37,319:Vérification des conditions de blocage
DEBUG:2023-01-14 17:58:57,376:Affichage du niveau
